TNF (ng/ml),EGF (ng/ml),Ins (ng/ml),C225 (µg/ml),IL-1ra (µg/ml),Time (min),Replicate,ERK,Akt,JNK,IKK,MK2,pMEK,pAkt (IB),pFKHR,pIRS1-636,pIRS1-896,ProC8,ClvC8,ProC3,pEGFR,tEGFR,ptEGFR,pAkt (AA),tAkt,ptAkt,CC3/CCK,Annexin,PI,Sub G1
0,0,0,0,0,0,1,2.219707744,1.058746906,1.259369068,1.400074223,1.994297498,1.235476606,1.072133722,0.397180827,1.319687718,2.197068251,0.955004734,0,1.224131728,1.161717019,1.095500908,1.056548163,1.133690855,1.198000449,0.945766194,,,,
0,0,0,0,0,0,2,1.246760943,0.792779965,1.269427218,1.378652162,1.680346882,0.878759183,1.035938725,0.226080197,1.346046107,0.539900233,0.969170341,0,1.148940294,1.080923774,1.149251194,0.93709106,1.026342394,0.89781223,1.142491229,,,,
0,0,0,0,0,0,3,1.189143899,0.613301819,1.13434527,0.77941355,0.930129047,0.698324732,0.781304145,0.083516039,1.10519722,1.224550934,1.016973917,0,1.145171212,0.927181017,0.9495541,0.972851398,1.054137328,0.988972847,1.065268164,,,,
0,0,0,0,0,0,4,1.290890247,0.801868457,1.353733071,1.270211675,1.532752169,1.117541643,1.003312009,0.030080408,0.769686133,0.697495993,1.05768815,0,0.833002123,1.128348992,1.143324655,0.983276287,1.016563164,1.032957809,0.98355332,,,,
0,0,0,0,0,0,5,0.526557764,0.527912575,0.74103442,0.955401506,0.431842757,1.050134439,1.13331111,0,0.815341125,0.88325358,0.97624306,0.027980604,0.660670779,0.658289522,0.627003723,1.046040531,0.708042282,0.808906526,0.87479638,,,,
0,0,0,0,0,0,6,1.130197768,1.942543437,2.013391223,1.283272996,1.282171275,1.019763398,0.974000288,0,0.644041698,0.457731009,1.024919797,0.001199693,0.988083864,1.043539676,1.035365419,1.004192561,1.061223978,1.073350139,0.988124712,,,,
0,0,0,0,0,5,1,2.153475681,0.833521135,2.008718678,1.043235633,1.385465163,1.180079129,0.796465422,0.04735418,0.728055808,0,0.74473217,0.032651322,0.797884267,1.111457637,1.047590235,1.057068575,0.968872251,1.081224803,0.89556403,,,,
0,0,0,0,0,5,2,1.433411674,0.87265271,1.447659828,1.539209224,1.059479313,1.177021997,0.942954346,0.073695761,0.793222382,1.879167385,1.120456479,0.041222826,1.126701583,1.062349363,1.102425716,0.960107176,1.194704484,1.178233045,1.01338721,,,,
0,0,0,0,0,5,3,1.185179561,0.88012986,1.224309981,1.460399661,0.514687734,1.20673082,1.028402749,0.167828022,0.795294415,1.211100921,1.045561397,0.073851723,1.210333699,1.027747575,0.852661101,1.200913424,1.264498648,1.269950983,0.995124764,,,,
0,0,0,0,0,15,1,1.919430663,1.167358672,2.166725568,0.992119148,1.466152991,1.241043284,1.028897703,0.14465927,0.72763749,0.421570209,1.214005801,0.070164374,1.151084739,1.100193933,1.004203234,1.091564289,1.137837493,1.187650059,0.957497986,,,,
0,0,0,0,0,15,2,1.703480819,0.870532271,1.357685298,1.593623266,1.347095656,1.083947873,0.897703362,0.243174305,1.051973051,1.021238678,1.252868768,0.079121652,1.137694463,1.162794375,0.98183733,1.179953985,1.157828532,1.393269438,0.830529878,,,,
0,0,0,0,0,15,3,1.435596754,1.372065402,1.413320472,1.027301983,1.350746213,1.415572279,1.002363054,0.210489916,1.249666704,0.94518568,1.1287337,0.060966665,1.13658217,0.93592144,0.862066199,1.081684156,1.073818985,1.129339202,0.950282645,,,,
0,0,0,0,0,30,1,0.653293324,0.735672156,1.830749813,0.911740203,1.185358851,1.230075185,0.700607837,0.087553352,1.04153118,0,1.118052222,0.009025848,1.245275191,1.110189108,1.02195008,1.082353111,1.286506312,1.330103355,0.966657569,,,,
0,0,0,0,0,30,2,0.712540172,0.608679529,1.083875374,1.692975749,0.611265243,1.040849524,0.753694781,0.015138728,0.930274387,1.010305331,1.140591048,0,0.941374478,1.279812341,1.060863523,1.201955713,1.295883793,1.443134627,0.897439818,,,,
0,0,0,0,0,30,3,0.638508198,0.881052832,0.951662702,0.814939983,0.674263803,1.218135254,0.829024371,0.159386189,0.970612983,1.264296164,1.040075632,0,1.066375784,1.072783168,0.804140804,1.329173092,1.207212754,1.275229259,0.946110082,,,,
0,0,0,0,0,60,1,0.543529367,0.612775453,0.791973742,1.355119517,1.056182335,1.173720177,2.470153855,0.170230164,1.402791073,0.749441286,1.179975568,0,1.5929923,0.95142202,0.819275374,1.157030979,0.941841309,1.073890383,0.876524188,,,,
0,0,0,0,0,60,2,0.480289916,0.591138907,0.825602115,1.385448886,0.956930772,0.741211292,0.67141262,0,2.030059698,0.770476431,0.990382619,0.018141045,1.439634151,1.045055703,0.749815738,1.388630109,1.126361929,1.367392773,0.823248232,,,,
0,0,0,0,0,60,3,0.340549831,0.596875565,0.581352064,1.860946106,0.808514447,1.578903031,0.779265088,0,1.5792684,1.363197823,1.198969952,0.026712461,1.262246474,0.986597557,0.780238297,1.259837298,1.091878077,1.189974184,0.917028283,,,,
0,0,0,0,0,90,1,0.761153552,0.575770552,1.344160365,1.391748864,1.209063988,4.389705674,0.779979887,0,1.355697008,1.370487965,1.251603273,0.036980049,1.123396184,1.146383583,1.227538587,0.930457401,1.092024761,1.228985186,0.888038841,,,,
0,0,0,0,0,90,2,0.533340282,0.504759728,0.988553832,0.894296813,0.885871681,0,0.677004247,0,1.616410867,1.283334522,1.287359722,0.107525747,1.256179605,1.003237766,0.935558002,1.068402374,0.950311224,1.091212314,0.870367617,,,,
0,0,0,0,0,90,3,0.437279925,0.480911124,0.897599042,2.004412001,1.177110667,0,0.87636736,0,1.194062278,0.088666287,1.277647977,0.09570562,1.030078378,0.927329382,0.83415689,1.107612806,0.923846712,1.004889898,0.918813909,,,,
0,0,0,0,0,120,1,0.846644827,0.688852263,1.019116415,1.447210611,1.297080734,0.532030754,0.970860306,0.213407885,1.538288557,2.462771697,1.21403074,0.075790538,1.339802794,1.07674075,0.888289143,1.207698383,1.028065379,1.12934538,0.909787735,,,,
0,0,0,0,0,120,2,0.78787787,0.763696503,1.060986446,1.326696098,1.222073386,0.413710099,0.788077464,0.196928297,0.581757823,2.880378083,1.196344493,0.070395011,1.401892707,1.078710443,0.778722373,1.380142471,1.03436771,1.087683665,0.950426358,,,,
0,0,0,0,0,120,3,0.607851242,0.74360877,1.062476609,0.860114649,1.034599872,0.503339031,0.955001081,0.291054774,0.925070945,1.989282223,1.368812134,0.081315581,1.64100616,1.000148669,0.786968212,1.266219684,0.982195959,1.077998154,0.910597071,,,,
0,0,0,0,0,240,1,0.902575233,0.707947509,1.196197772,1.229270002,0.740947191,0.514838245,0.917247792,0.154765864,1.27855697,2.593557614,1.197019953,0.05430639,1.410947688,0.915078977,0.784025803,1.16286664,0.987104713,0.960868044,1.026704816,,,,
0,0,0,0,0,240,2,0.912214979,0.784489585,1.201509333,1.581809213,1.840843862,0.406178962,0.908141567,0.060380725,1.054266968,1.194115423,1.329064922,0.107083095,1.485209907,0.851424814,0.737088055,1.150876228,0.910933832,0.962834241,0.945543317,,,,
0,0,0,0,0,240,3,1.324827173,0.890882828,1.288075962,1.214673321,0.954351249,0.362736054,0.829741255,0.167706749,1.563975109,0.896581104,1.135214535,0.113648838,1.46519938,0.869616623,0.790230252,1.096417277,0.9170384,0.931523309,0.983874984,,,,
0,0,0,0,0,480,1,1.529075971,0.677582241,2.200474095,0.680680488,1.381702602,0.494200076,1.180556066,0.15971492,1.620337301,1.462313228,1.306841744,0.078610429,1.630264041,0.832158235,0.824169425,1.005984075,0.913946703,0.806861057,1.132056856,,,,
0,0,0,0,0,480,2,1.443771288,1.549517373,1.798553362,0.718247239,2.220218203,0.441758364,1.228157887,0.247791563,1.355613635,2.026629707,1.35867643,0.133524415,1.547408019,0.901959114,0.667802635,1.345675708,1.023392719,0.971366299,1.052944341,,,,
0,0,0,0,0,480,3,1.530418209,0.755991978,1.425376173,1.043155865,1.790848182,0.57077831,1.255093361,0.011371432,0.974428211,0.715034517,1.502165561,0.184742584,1.668895437,0.829683792,0.746834064,1.106853589,0.955746342,0.863896938,1.105673328,,,,
0,0,0,0,0,720,1,1.87229314,1.361638115,1.914850328,0.848278398,2.101479015,0.628291078,1.554949145,0.12937573,0.984106576,0,1.622177201,0.101965057,1.835937807,0.785590668,0.580721217,1.347815081,0.9695244,0.825578684,1.17367106,8.2526878130217,5.92497806215722,5.65379676258993,9.81627803458312
